,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.747,0.7852652838681783,0.747,0.7596122512321613,0.931728141723901
Decision Tree,0.678,0.6806339988793151,0.678,0.6791600232963889,0.7682762630324301
Random Forest,0.7505,0.752762013328844,0.7505,0.7514173373912063,0.9194641237434893
K-Nearest Neighbors,0.694,0.7216556484861872,0.694,0.7026371114820897,0.8794426404429283
Support Vector Machine,0.731,0.769159841101428,0.731,0.7432610031868372,0.9097113574841232
Gradient Boosting,0.751,0.7649831057498432,0.751,0.7558104861517616,0.9257678636420841
